Website;Privacy_Link;Privacy_Status;ToS_Link;ToS_Status
rwth-aachen.de;https://rwth-aachen.de/cms/root/Footer/Services/~cesv/Datenschutzerklaerung/;200;Nicht gefunden;n/a
dhl.de;https://dhl.de/de/toolbar/footer/datenschutz.html;200;https://dhl.de/de/toolbar/footer/agb.html;200
rtl.de;https://rtl.de/datenschutz/;200;https://rtl.de/nutzungsbedingungen/;200
fr.de;https://www.fr.de/ueber-uns/datenschutz/;200;https://www.fr.de/ueber-uns/agb/;200
gmx.de;https://www.gmx.net/datenschutz/#.pc_page.homepage.index.footer_4.datenschutz;200;https://agb-server.gmx.net/gmxagb-de;200
thomann.de;Nicht gefunden;n/a;https://thomann.de/compinfo_terms.html;404
autoscout24.de;https://www.autoscout24.de/unternehmen/datenschutz/;200;https://www.autoscout24.de/unternehmen/verbraucher-agb/;200
eventim.de;Nicht gefunden;n/a;Nicht gefunden;n/a
freenet.de;https://www.freenet.de/datenschutz/;200;https://www.freenet.de/agb/;200
bayern.de;https://bayern.de/datenschutz/;200;Nicht gefunden;n/a
elster.de;https://elster.de/eportal/helpGlobal?themaGlobal=datenschutz_public;200;Nicht gefunden;n/a
sonnenbatterie.de;https://sonnenbatterie.de/datenschutz;404;https://policies.google.com/terms?hl=de;200
vodafone.de;https://www.vodafone.de/unternehmen/soziale-verantwortung/datenschutz-privatsphaere.html;200;https://www.vodafone.de/agb.html;200
lidl.de;Nicht gefunden;n/a;https://lidl.de/c/allgemeine-geschaeftsbedingungen-onlineshop/s10005181;200
giga.de;https://giga.de/www.giga.de/#;404;Nicht gefunden;n/a
chefkoch.de;https://chefkoch.de/datenschutz;200;https://chefkoch.de/agb;200
immowelt.de;https://www.immowelt.de/immoweltag/datenschutz;200;https://www.immowelt.de/immoweltag/agb;200
thalia.de;Nicht gefunden;n/a;Nicht gefunden;n/a
abendblatt.de;https://abendblatt.de/service/datenschutzerklaerung/;200;Nicht gefunden;n/a
fu-berlin.de;https://fu-berlin.de/redaktion/impressum/datenschutzhinweise/index.html;200;Nicht gefunden;n/a
uni-heidelberg.de;https://uni-heidelberg.de/de/datenschutzerklaerung;200;Nicht gefunden;n/a
hessen.de;https://hessen.de/datenschutz;200;Nicht gefunden;n/a
sport1.de;Nicht gefunden;n/a;https://www.sport1.de/news/unternehmen/nutzungsbedingungen;200
derwesten.de;https://www.derwesten.de/datenschutz;200;Nicht gefunden;n/a
adac.de;https://adac.de/datenschutz/;200;Nicht gefunden;n/a
nameserverservice.de;Nicht gefunden;n/a;Nicht gefunden;n/a
dfn.de;https://www.dfn.de/dfn-infobrief-recht-ist-erschienen/;200;Nicht gefunden;n/a
tripadvisor.de;Nicht gefunden;n/a;Nicht gefunden;n/a
berlin.de;https://www.berlin.de/rbmskzl/datenschutzerklaerung.703112.php;200;Nicht gefunden;n/a
taz.de;https://taz.de/Wir-sind-uns-sicher/!vn5957314/;200;https://taz.de/Abonnementvertraege-der-taz/!vn5957307/;200
hna.de;https://www.hna.de/ueber-uns/datenschutz/;200;https://www.hna.de/ueber-uns/agb/;200
tvspielfilm.de;https://www.tvspielfilm.de/datenschutz/;200;https://www.tvspielfilm.de/services/nutzungsbedingungen/;200
uni-hamburg.de;https://uni-hamburg.de/datenschutz.html;200;Nicht gefunden;n/a
sportschau.de;https://sportschau.de/service/app/informationen-zum-datenschutz,datenschutz-app-100.html;200;Nicht gefunden;n/a
volkswagen.de;Nicht gefunden;n/a;https://volkswagen.de/de/mehr/rechtliches/nutzungsbedingungen.html;Fehler
gala.de;https://gala.de/javascript:window.gujService.consent.openModal();404;https://www.gala.de/service/allgemeine-geschaeftsbedingungen-20103684.html;200
schwaebische.de;https://www.schwaebische.de/datenschutz;200;https://www.schwaebische.de/agb;Fehler
